Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
X,01.05.2024,28.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02961184430qspefk.czuv.22/qiq,2950000,481!15,čftlê!CveĜkpwjdf,1+1,|  družstevní  |  centrum  |  MHD  |  balk  
X,15.04.2024,23.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02952:779:0czu.22.w.d.cvefkpwjdjdi.48.n.tlmfq.qpejm.ob.{bisbef/qiq,2280000,481!17,čftlê!CveĜkpwjdf,1+1,|  osobní  
X,31.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029461:8910qspebn.czu.22.44n3.tlmfq/qiq,2690000,481!12,čftlê!CveĜkpwjdf,1+1,""
X,25.03.2024,08.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02943535720qspefk.czuv.22.54.n3.w.vmjdj.gs.poesjdlb.dftlf.cvefkpwjdf.3/qiq,3390000,481!22,čftlê!CveĜkpwjdf,1+1,|  osobní  |  centrum  |  zateplen  |  MHD  
X,18.03.2024,18.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0293:2282:0qspefk.czu.22.54/qiq,2490000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  
X,09.03.2024,26.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0293574355022/qiq,2750000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  
X,03.03.2024,06.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0293261:170qspebn.czu.22.w.dcvefkpwjdjdi/qiq,2500000,481!16,čftlê!CveĜkpwjdf,1+1,|  zateplen  |  balk  
X,12.02.2024,26.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02922:45::0qspefk.czu.22.46.n3.vm.qflbsfotlb.dftlf.cvefkpwjdf/qiq,2850000,481!15,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  
X,08.02.2024,18.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02921236140qspefk.czu.22.5:/qiq,3249000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  balk  
X,07.02.2024,29.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0291:647590qspefk.czuv.22.43.n.evcfotlb.vm.dc/qiq,2390000,481!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  družstevní  |  zateplen  |  MHD  |  plastová okna  
