Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
X,29.01.2024,08.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02916425570qspefk.czuv.32.w.{mjwj.vm.{bisbeoj/qiq,2290000,484!55,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  centrum  |  balk  
X,27.01.2024,29.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02915636680qspefk.czuv.32.78.n3.wdufsbtz.b.cbmlpov/qiq,4900000,484!82,čftlê!CveĜkpwjdf,2+1,|  balk  
X,26.01.2024,26.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02914847850qspefk.czuv.32.p.wfmjlptuj.91.n3.w.se.imvcplb.obe.wmubwpv.dftlf.cvefkp/qiq,3000000,484!52,čftlê!CveĜkpwjdf,2+1,""
X,26.01.2024,26.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02915166760qspebn.czu.wf.{mjwj/qiq,2175000,484!55,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
X,24.01.2024,07.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02914163120qspefk.czuv.32.w.dc/qiq,4450000,481!15,čftlê!CveĜkpwjdf,2+1,|  MHD  |  balk  
X,22.01.2024,03.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02912979:10qspefk.czu.32.58/qiq,3290000,481!17,čftlê!CveĜkpwjdf,2+1,|  osobní  
X,19.01.2024,31.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02911531:80qspefk.czuv.32.84.n3.dftlf.cvefkpwjdf.vm.k.pqmfubmb/qiq,3180000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  aukc  
X,19.01.2024,31.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02911531:80qspefk.czuv.32.84.n3.dftlf.cvefkpwjdf.vm.k.pqmfubmb/qiq,3180000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  aukc  
X,17.01.2024,18.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028::749260czu.32.w.d.cvefkpwjdjdi/qiq,3700000,481!16,čftlê!CveĜkpwjdf,2+1,|  osobní  
X,16.01.2024,16.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028::445550l.qspefkj.czu.32.t.kjefmojn.lpvufn.tbuopv.cbmlpofn.b.tlmfqfn.w.ew.vm.d/qiq,3390000,481!15,čftlê!CveĜkpwjdf,2+1,|  družstevní  |  balk  
X,16.01.2024,08.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028::443290l.qspefkj.czu.32.t.kjefmopv.tbuopv.cbmlpofn.b.tlmfqfn.w.ew.vm.dfdpwb.d/qiq,3390000,481!15,čftlê!CveĜkpwjdf,2+1,|  družstevní  |  balk  
X,16.01.2024,16.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028::311:30qspefk.czu.32.tbuob.cbmlpo.tlmfq.feftujopwf.dftlf.cv/qiq,4990000,481!16,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  zateplen  |  balk  |  plastová okna  
X,09.01.2024,09.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:6983520qspefk.czuv/qiq,2850000,484!74,čftlê!CveĜkpwjdf,2+1,|  osobní  |  novostavb  
X,08.01.2024,08.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:6465:70qspefk.{sflpotusvpwbofip.czuv.32.{mjw/qiq,2990000,484!55,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  
X,03.01.2024,03.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:4218460czu.32/qiq,4000000,481!12,čftlê!CveĜkpwjdf,2+1,""
X,30.12.2023,28.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:2472:80qspefk.czuv.32.5:.n3.mjejdlb.us.dftlf.cvefkpwjdf/qiq,3850000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  zateplen  |  MHD  |  balk  
X,29.12.2023,03.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:1838510qspebn.czu.32.t.qsptupsopv.tbuopv.b.kjefmojn.lpvufn/qiq,3800000,481!17,čftlê!CveĜkpwjdf,2+1,|  osobní  |  zateplen  |  MHD  
X,23.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02899998540qspefk.czuv.32.59.n.dftlf.cvefkpwjdf.vm.dfdpwb/qiq,2900000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
X,22.12.2023,08.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02899711770qspefk.czu.32.tbuob.tlmfq.vm.f.eftujopwf.dftlf.cvefkpwjdf/qiq,4090000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  plastová okna  
X,22.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02899711540qspefk.czu.32.73/qiq,3500000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  zateplen  |  plastová okna  
X,22.12.2023,20.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02899722260qspefk.czu.32.tbuob.tlmfq.vm.f.eftujopwf.dftlf.cvefkpwjdf/qiq,4090000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  plastová okna  
X,22.12.2023,20.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02899722260qspefk.czu.32.tbuob.tlmfq.vm.f.eftujopwf.dftlf.cvefkpwjdf/qiq,3890000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  
X,22.12.2023,08.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02899711770qspefk.czu.32.tbuob.tlmfq.vm.f.eftujopwf.dftlf.cvefkpwjdf/qiq,4090000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  plastová okna  
X,21.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02899473870qspefk.czu.32.59/qiq,3390000,481!15,čftlê!CveĜkpwjdf,2+1,|  OV  |  družstevní  |  zateplen  
X,20.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289899:380qspefk.{sflpotusvpwbofip.czuv.32.{mjw/qiq,2700000,484!55,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  
X,19.12.2023,17.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02898633450qspefk.czuv.32.78.n/qiq,4049000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  MHD  
X,19.12.2023,17.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02898633450qspefk.czuv.32.78.n/qiq,4049000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  MHD  
X,17.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028973:5720qspefk.czuv.32.w.dfousv.dc/qiq,4230000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  
X,15.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02896773670qspefk.czuv.32.84.n3.dftlf.cvefkpwjdf.vm.k.pqmfubmb/qiq,3380000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  aukc  
X,14.12.2023,18.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02896157140qspefk.czu.32.73/qiq,2590000,485!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
X,13.12.2023,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289586:630obcjeofuf.czu.3ll.4ll.32.42.w.dftlzdi.cvefkpwjdjdi/qiq,Dohodou,481!12,čftlê!CveĜkpwjdf,2+1,
X,13.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02895858540qspefk.czuv.32.5:.n3.mjejdlb.us.dftlf.cvefkpwjdf/qiq,3850000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  zateplen  |  MHD  |  balk  
X,13.12.2023,30.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289586:630obcjeofuf.czu.3ll.4ll.32.42.w.dftlzdi.cvefkpwjdjdi/qiq,Dohodou,481!12,čftlê!CveĜkpwjdf,2+1,""
X,12.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02895562140qspefk.czuv.32.68.n.opwf.isbez.vm.tjemjtuf.njsv/qiq,3200000,484!44,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
X,11.12.2023,09.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02894:67220qspefk.czuv.32.d.:.k.qmbdiuz.dftlf.cvefkpwjdf/qiq,3400000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  centrum  
X,11.12.2023,09.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02894:67220qspefk.czuv.32.d.:.k.qmbdiuz.dftlf.cvefkpwjdf/qiq,3200000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  centrum  
X,08.12.2023,18.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028936961:0qspefk.czu.32.tfwfujo/qiq,1,484!74,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
X,06.12.2023,18.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289266:610qspefk.czuv.32.72.n.dftlf.cvefkpwjdf.vm.dfdpwb/qiq,3510000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  balk  
X,06.12.2023,04.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289284:130qspefk.czu.32.:7/qiq,4060000,481!22,čftlê!CveĜkpwjdf,2+1,|  OV  
X,06.12.2023,04.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289284:130qspefk.czu.32.:7/qiq,4060000,481!22,čftlê!CveĜkpwjdf,2+1,|  OV  
